v/tower_0/cg/mpool4/MaxPool,272
v/tower_0/cg/mpool3/MaxPool,1051
v/tower_0/cg/mpool2/MaxPool,1840
v/tower_0/cg/mpool1/MaxPool,3728
v/tower_0/cg/mpool0/MaxPool,7330
