v/tower_0/cg/resnet_v11/conv5/conv2d/Conv2D,2644
v/tower_0/cg/resnet_v113/conv44/conv2d/Conv2D,1408
v/tower_0/cg/resnet_v12/conv10/conv2d/Conv2D,3110
v/tower_0/cg/resnet_v14/conv16/conv2d/Conv2D,2631
v/tower_0/cg/resnet_v110/conv35/conv2d/Conv2D,2505
v/tower_0/cg/resnet_v113/conv43/conv2d/Conv2D,5060
v/tower_0/cg/resnet_v18/conv30/conv2d/Conv2D,2571
v/tower_0/cg/resnet_v115/conv50/conv2d/Conv2D,2696
v/tower_0/cg/resnet_v15/conv20/conv2d/Conv2D,2711
v/tower_0/cg/resnet_v111/conv39/conv2d/Conv2D,2576
v/tower_0/cg/resnet_v16/conv22/conv2d/Conv2D,2618
v/tower_0/cg/resnet_v11/conv7/conv2d/Conv2D,3114
v/tower_0/cg/resnet_v15/conv19/conv2d/Conv2D,2620
v/tower_0/cg/resnet_v10/conv3/conv2d/Conv2D,4127
v/tower_0/cg/resnet_v10/conv1/conv2d/Conv2D,3115
v/tower_0/cg/resnet_v16/conv23/conv2d/Conv2D,2714
v/tower_0/cg/resnet_v13/conv12/conv2d/Conv2D,1372
v/tower_0/cg/resnet_v110/conv36/conv2d/Conv2D,2591
v/tower_0/cg/resnet_v14/conv15/conv2d/Conv2D,2514
v/tower_0/cg/resnet_v18/conv29/conv2d/Conv2D,2504
v/tower_0/cg/resnet_v13/conv11/conv2d/Conv2D,5058
v/tower_0/cg/resnet_v10/conv2/conv2d/Conv2D,848
v/tower_0/cg/resnet_v110/conv34/conv2d/Conv2D,2683
v/tower_0/cg/resnet_v15/conv18/conv2d/Conv2D,2511
v/tower_0/cg/resnet_v113/conv46/conv2d/Conv2D,2632
v/tower_0/cg/resnet_v13/conv13/conv2d/Conv2D,2615
v/tower_0/cg/conv0/conv2d/Conv2D,6189
v/tower_0/cg/resnet_v17/conv25/conv2d/Conv2D,1431
v/tower_0/cg/resnet_v112/conv40/conv2d/Conv2D,2477
v/tower_0/cg/resnet_v19/conv31/conv2d/Conv2D,2474
v/tower_0/cg/resnet_v13/conv14/conv2d/Conv2D,2708
v/tower_0/cg/resnet_v112/conv41/conv2d/Conv2D,2509
v/tower_0/cg/resnet_v111/conv38/conv2d/Conv2D,2499
v/tower_0/cg/resnet_v17/conv26/conv2d/Conv2D,2495
v/tower_0/cg/resnet_v10/conv4/conv2d/Conv2D,3113
v/tower_0/cg/resnet_v19/conv32/conv2d/Conv2D,2496
v/tower_0/cg/resnet_v17/conv24/conv2d/Conv2D,4894
v/tower_0/cg/resnet_v14/conv17/conv2d/Conv2D,2710
v/tower_0/cg/resnet_v114/conv48/conv2d/Conv2D,2477
v/tower_0/cg/resnet_v12/conv8/conv2d/Conv2D,2652
v/tower_0/cg/resnet_v112/conv42/conv2d/Conv2D,2585
v/tower_0/cg/resnet_v16/conv21/conv2d/Conv2D,2508
v/tower_0/cg/resnet_v11/conv6/conv2d/Conv2D,4123
v/tower_0/cg/resnet_v115/conv52/conv2d/Conv2D,2649
v/tower_0/cg/resnet_v114/conv49/conv2d/Conv2D,2639
v/tower_0/cg/resnet_v18/conv28/conv2d/Conv2D,2476
v/tower_0/cg/resnet_v19/conv33/conv2d/Conv2D,2580
v/tower_0/cg/resnet_v115/conv51/conv2d/Conv2D,2478
v/tower_0/cg/resnet_v17/conv27/conv2d/Conv2D,2585
v/tower_0/cg/resnet_v12/conv9/conv2d/Conv2D,4123
v/tower_0/cg/resnet_v111/conv37/conv2d/Conv2D,2470
v/tower_0/cg/resnet_v114/conv47/conv2d/Conv2D,2697
v/tower_0/cg/resnet_v113/conv45/conv2d/Conv2D,2463
