v/tower_0/cg/incept_v3_a0_1/conv18/conv2d/Conv2D,921
v/tower_0/cg/conv2/conv2d/Conv2D,16741
v/tower_0/cg/incept_v3_c0_1/conv41/conv2d/Conv2D,1802
v/tower_0/cg/incept_v3_c0_3/conv60/conv2d/Conv2D,1819
v/tower_0/cg/incept_v3_c0_1/conv47/conv2d/Conv2D,1563
v/tower_0/cg/incept_v3_e0_1/conv86/conv2d/Conv2D,2249
v/tower_0/cg/incept_v3_d0/conv73/conv2d/Conv2D,2190
v/tower_0/cg/incept_v3_a0/conv6/conv2d/Conv2D,712
v/tower_0/cg/incept_v3_a0/conv10/conv2d/Conv2D,2871
v/tower_0/cg/incept_v3_c0_1/conv43/conv2d/Conv2D,1814
v/tower_0/cg/incept_v3_a0_1/conv15/conv2d/Conv2D,918
v/tower_0/cg/incept_v3_e0/conv84/conv2d/Conv2D,941
v/tower_0/cg/incept_v3_c0/conv34/conv2d/Conv2D,1218
v/tower_0/cg/incept_v3_b0/conv28/conv2d/Conv2D,2254
v/tower_0/cg/incept_v3_d0/conv72/conv2d/Conv2D,1828
v/tower_0/cg/incept_v3_c0_3/conv65/conv2d/Conv2D,2066
v/tower_0/cg/incept_v3_a0_1/conv16/conv2d/Conv2D,2225
v/tower_0/cg/incept_v3_c0/conv38/conv2d/Conv2D,1578
v/tower_0/cg/incept_v3_c0/conv39/conv2d/Conv2D,1828
v/tower_0/cg/incept_v3_b0/conv27/conv2d/Conv2D,1015
v/tower_0/cg/incept_v3_d0/conv74/conv2d/Conv2D,2072
v/tower_0/cg/incept_v3_c0_2/conv55/conv2d/Conv2D,1567
v/tower_0/cg/incept_v3_c0/conv35/conv2d/Conv2D,1121
v/tower_0/cg/incept_v3_e0/conv80/conv2d/Conv2D,1696
v/tower_0/cg/incept_v3_e0/conv83/conv2d/Conv2D,1476
v/tower_0/cg/incept_v3_c0_3/conv68/conv2d/Conv2D,2197
v/tower_0/cg/incept_v3_c0/conv31/conv2d/Conv2D,1228
v/tower_0/cg/incept_v3_a0_2/conv24/conv2d/Conv2D,2868
v/tower_0/cg/incept_v3_c0_1/conv42/conv2d/Conv2D,1661
v/tower_0/cg/incept_v3_c0/conv36/conv2d/Conv2D,1195
v/tower_0/cg/incept_v3_c0_3/conv62/conv2d/Conv2D,2193
v/tower_0/cg/incept_v3_a0_1/conv13/conv2d/Conv2D,916
v/tower_0/cg/incept_v3_a0_2/conv20/conv2d/Conv2D,1010
v/tower_0/cg/incept_v3_c0_3/conv63/conv2d/Conv2D,2069
v/tower_0/cg/incept_v3_c0_3/conv66/conv2d/Conv2D,2203
v/tower_0/cg/incept_v3_c0/conv32/conv2d/Conv2D,1210
v/tower_0/cg/incept_v3_c0_1/conv44/conv2d/Conv2D,1821
v/tower_0/cg/incept_v3_c0_2/conv58/conv2d/Conv2D,1914
v/tower_0/cg/incept_v3_a0_1/conv17/conv2d/Conv2D,2877
v/tower_0/cg/incept_v3_a0/conv5/conv2d/Conv2D,718
v/tower_0/cg/incept_v3_e0_1/conv88/conv2d/Conv2D,1480
v/tower_0/cg/incept_v3_a0_2/conv22/conv2d/Conv2D,1021
v/tower_0/cg/incept_v3_e0/conv81/conv2d/Conv2D,1511
v/tower_0/cg/incept_v3_a0_1/conv12/conv2d/Conv2D,916
v/tower_0/cg/conv1/conv2d/Conv2D,9091
v/tower_0/cg/incept_v3_b0/conv29/conv2d/Conv2D,1123
v/tower_0/cg/incept_v3_e0/conv79/conv2d/Conv2D,1472
v/tower_0/cg/incept_v3_c0_2/conv57/conv2d/Conv2D,1571
v/tower_0/cg/incept_v3_e0/conv76/conv2d/Conv2D,1199
v/tower_0/cg/incept_v3_c0/conv37/conv2d/Conv2D,1108
v/tower_0/cg/incept_v3_a0_2/conv23/conv2d/Conv2D,2238
v/tower_0/cg/incept_v3_c0_1/conv40/conv2d/Conv2D,1820
v/tower_0/cg/incept_v3_c0_2/conv54/conv2d/Conv2D,1809
v/tower_0/cg/incept_v3_a0_2/conv25/conv2d/Conv2D,1013
v/tower_0/cg/incept_v3_e0/conv78/conv2d/Conv2D,1455
v/tower_0/cg/incept_v3_c0/conv30/conv2d/Conv2D,1806
v/tower_0/cg/incept_v3_a0_1/conv14/conv2d/Conv2D,2643
v/tower_0/cg/incept_v3_c0_1/conv48/conv2d/Conv2D,1909
v/tower_0/cg/incept_v3_c0_3/conv67/conv2d/Conv2D,2066
