v/tower_0/cg/incept_v3_e0/conv77/Relu,62
v/tower_0/cg/incept_v3_c0_3/conv60/Relu,140
v/tower_0/cg/incept_v3_c0/conv37/Relu,94
v/tower_0/cg/incept_v3_a0/conv7/Relu,195
v/tower_0/cg/incept_v3_c0_2/conv52/Relu,115
v/tower_0/cg/incept_v3_a0/conv8/Relu,195
v/tower_0/cg/incept_v3_d0/conv74/Relu,137
v/tower_0/cg/incept_v3_c0/conv31/Relu,93
v/tower_0/cg/incept_v3_e0_1/conv91/Relu,63
v/tower_0/cg/incept_v3_c0/conv34/Relu,92
v/tower_0/cg/incept_v3_e0/conv79/Relu,63
v/tower_0/cg/incept_v3_c0_2/conv50/Relu,137
v/tower_0/cg/incept_v3_e0_1/conv88/Relu,62
v/tower_0/cg/incept_v3_c0_2/conv58/Relu,137
v/tower_0/cg/incept_v3_c0_2/conv55/Relu,114
v/tower_0/cg/incept_v3_a0_1/conv15/Relu,196
v/tower_0/cg/incept_v3_a0_1/conv17/Relu,291
v/tower_0/cg/incept_v3_d0/conv73/Relu,137
v/tower_0/cg/incept_v3_c0_2/conv56/Relu,115
v/tower_0/cg/incept_v3_a0_1/conv18/Relu,195
v/tower_0/cg/incept_v3_c0_3/conv61/Relu,138
v/tower_0/cg/incept_v3_e0_1/conv89/Relu,72
v/tower_0/cg/incept_v3_c0/conv38/Relu,137
v/tower_0/cg/incept_v3_e0/conv76/Relu,50
v/tower_0/cg/incept_v3_d0/conv72/Relu,137
v/tower_0/cg/incept_v3_c0_1/conv46/Relu,117
v/tower_0/cg/incept_v3_c0/conv32/Relu,93
v/tower_0/cg/incept_v3_a0_2/conv22/Relu,195
v/tower_0/cg/incept_v3_b0/conv26/Relu,274
v/tower_0/cg/incept_v3_e0/conv83/Relu,62
v/tower_0/cg/incept_v3_a0_2/conv24/Relu,291
v/tower_0/cg/incept_v3_c0_1/conv47/Relu,116
v/tower_0/cg/incept_v3_e0/conv84/Relu,31
v/tower_0/cg/incept_v3_e0/conv82/Relu,63
v/tower_0/cg/incept_v3_a0_2/conv21/Relu,195
v/tower_0/cg/incept_v3_a0_2/conv23/Relu,290
v/tower_0/cg/incept_v3_a0/conv5/Relu,192
v/tower_0/cg/incept_v3_c0/conv35/Relu,92
v/tower_0/cg/incept_v3_c0/conv30/Relu,137
v/tower_0/cg/incept_v3_a0_2/conv25/Relu,196
v/tower_0/cg/incept_v3_a0_1/conv13/Relu,145
v/tower_0/cg/incept_v3_c0_3/conv63/Relu,139
v/tower_0/cg/conv0/Relu,1779
v/tower_0/cg/conv2/Relu,3489
v/tower_0/cg/incept_v3_c0_2/conv59/Relu,139
v/tower_0/cg/incept_v3_a0_1/conv16/Relu,292
v/tower_0/cg/incept_v3_c0_3/conv67/Relu,138
v/tower_0/cg/incept_v3_c0_3/conv68/Relu,137
v/tower_0/cg/incept_v3_c0_3/conv65/Relu,138
v/tower_0/cg/incept_v3_e0_1/conv93/Relu,31
v/tower_0/cg/incept_v3_a0_1/conv14/Relu,193
v/tower_0/cg/incept_v3_c0_1/conv43/Relu,137
v/tower_0/cg/incept_v3_c0/conv39/Relu,137
v/tower_0/cg/incept_v3_a0_1/conv12/Relu,194
v/tower_0/cg/incept_v3_d0/conv70/Relu,139
v/tower_0/cg/incept_v3_c0_1/conv49/Relu,138
v/tower_0/cg/incept_v3_a0/conv11/Relu,98
v/tower_0/cg/incept_v3_d0/conv75/Relu,31
v/tower_0/cg/incept_v3_a0_2/conv20/Relu,147
v/tower_0/cg/incept_v3_e0/conv80/Relu,72
v/tower_0/cg/incept_v3_d0/conv71/Relu,53
v/tower_0/cg/incept_v3_e0_1/conv85/Relu,52
v/tower_0/cg/incept_v3_c0_3/conv64/Relu,137
v/tower_0/cg/incept_v3_c0_2/conv51/Relu,115
v/tower_0/cg/incept_v3_e0/conv81/Relu,64
v/tower_0/cg/incept_v3_c0_1/conv48/Relu,138
v/tower_0/cg/conv4/Relu,2426
v/tower_0/cg/incept_v3_c0_1/conv40/Relu,138
v/tower_0/cg/incept_v3_a0_2/conv19/Relu,195
v/tower_0/cg/incept_v3_c0_1/conv42/Relu,115
v/tower_0/cg/incept_v3_c0_1/conv45/Relu,116
v/tower_0/cg/incept_v3_c0_1/conv44/Relu,116
v/tower_0/cg/incept_v3_e0_1/conv90/Relu,62
v/tower_0/cg/incept_v3_c0/conv33/Relu,137
v/tower_0/cg/incept_v3_b0/conv28/Relu,290
v/tower_0/cg/conv1/Relu,1728
v/tower_0/cg/incept_v3_a0/conv9/Relu,290
v/tower_0/cg/incept_v3_c0_2/conv53/Relu,139
v/tower_0/cg/incept_v3_c0/conv36/Relu,92
v/tower_0/cg/conv3/Relu,1061
v/tower_0/cg/incept_v3_c0_2/conv54/Relu,116
v/tower_0/cg/incept_v3_e0_1/conv87/Relu,63
v/tower_0/cg/incept_v3_c0_1/conv41/Relu,116
v/tower_0/cg/incept_v3_a0/conv6/Relu,149
v/tower_0/cg/incept_v3_c0_3/conv69/Relu,138
v/tower_0/cg/incept_v3_e0_1/conv92/Relu,62
v/tower_0/cg/incept_v3_c0_3/conv62/Relu,138
v/tower_0/cg/incept_v3_b0/conv27/Relu,194
v/tower_0/cg/incept_v3_c0_3/conv66/Relu,140
v/tower_0/cg/incept_v3_b0/conv29/Relu,69
v/tower_0/cg/incept_v3_e0/conv78/Relu,63
v/tower_0/cg/incept_v3_e0_1/conv86/Relu,64
v/tower_0/cg/incept_v3_a0/conv10/Relu,289
v/tower_0/cg/incept_v3_c0_2/conv57/Relu,115
